ID,TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,availability,quantity,tag,MATERIALS,image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,VARIATION 1 TYPE,Variant_Names,VARIANT_VALUES,VARIANT_VALUES 2,VARIANT_VALUES 3,VARIANT_VALUES 4,,Link
PIN_001,African Ankara Print Handheld Folding Hand Fan-  Deep Floral print,"Introducing BijouCREATES luxury handmade fan! Embrace summer, boss mood and African inspired glamour with these authentic print fans. Turn heads with this beautiful accessory. Fantastic for gifts, home decor and a statement piece with an outfit.

Fits into your purse perfectly once folded, and is crisp and interfaced to create a sturdy long-lasting and wonderfully unique item.

All fabrics are cut by hand, so the precise placement of prints will always be unique to every order.

FEATURES

Material: 100% cotton, wax print fabrics & Vegan Leather 

Measurements: 
Total opened length: 35 cm 
Folded length : 24 cm 
Open fan radius: 13.5 cm 

Do not machine wash, please wipe down with slightly damp cloth to clean.

SHIPPING

Your item will be made within 1 week (excluding weekends and UK public holidays). Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately:

UK: 1-2 working days
Europe: 3-8 working days
USA: 5-10 working days
Rest of this beautiful world: 5-12 working days

Please note that these timings are Royal Mail estimates outside of peak seasons.

All orders are neatly wrapped in white tissue paper and a wax print ribbon. Gift wrapping is also available at checkout
 
SOCIALS

To see behind the scenes and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tiki's Tok and Facebook. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!


Please message me from any questions or enquires.",15,GBP,in stock,4,"fan,African_print,african_fabric,black_owned,hand_fan,fashion_accessories,foldable_fan,Ankara_fan,leather_fan,ethical,gifts,handmade,black_owned_shop",Fabric,https://i.etsystatic.com/22032131/r/il/6619ab/3696913669/il_fullxfull.3696913669_rviu.jpg,https://i.etsystatic.com/22032131/r/il/aae443/3649321124/il_fullxfull.3649321124_l6le.jpg,https://i.etsystatic.com/22032131/r/il/4ba774/3696913835/il_fullxfull.3696913835_l6cn.jpg,https://i.etsystatic.com/22032131/r/il/866b46/3649321224/il_fullxfull.3649321224_mr00.jpg,https://i.etsystatic.com/22032131/r/il/b0a78b/3649358266/il_fullxfull.3649358266_fzog.jpg,,,,,,,,,,,,,https://www.bijoucreates.co.uk/product-page/fan-deep-floral-ankara
PIN_002,Face Mask - African print Fabric with FILTER PAPER,"Get ready to brace the world with our extended range of face masks!  These options feature beautiful West African print fabrics which give a more firm shape to the face than the soft cotton Ankara option.

Similar to our Ankara masks this mask design features a snug fit around the face to shape for a perfect fit. There is an internal pocket which allows for filter paper to be inserted inside for another layer of protection.
These masks all have a black interior lining with a silky feel that is great against the skin to wear everyday and luxury comfort. 

These masks include usage instruction but can be machine washed on low heat to be used multiple times for reusable sustainable safety

PRODUCT INFO

These masks are made to a standard size but it is possible for me to slightly adjust masks to make them slightly large or smaller on request. These masks come with adjusable straps to allow users to have maximum comfortability. 

size: Width (ear to ear) 20 cm // 7.9""
Height (nose to chin) 13 cm // 5.1""



POSTAGE

Free first Class Royal Mail shipping with this item. No tracking available with standard / free delivery Profile. 
Upgrade shipping option for tracking options 

SOCIALS

Thank you so much for all the support and growth in my brand✨✨

To see behind the scenes, watch and discover the design and making of my items and learn more about BijouCREATES you can find @BijouCREATRS on Instagram and Facebook. Here you can be part of my journey as a young independent designer. I would love for you to follow and support me on my adventure of growing my small business. 

I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!",6.5,GBP,in stock,27,"ankara,face_mask,mask,african_wax_print,black_owned,face_covering,kente_fabric,black_own,mask_filter,africa_black,black_women,print,Africa_face_mask",,https://i.etsystatic.com/22032131/r/il/154324/2422128185/il_fullxfull.2422128185_pbz5.jpg,https://i.etsystatic.com/22032131/r/il/ad597f/2422145235/il_fullxfull.2422145235_h860.jpg,https://i.etsystatic.com/22032131/r/il/f7d22f/2374520432/il_fullxfull.2374520432_ac55.jpg,https://i.etsystatic.com/22032131/r/il/69bcaf/2422128615/il_fullxfull.2422128615_qu5k.jpg,https://i.etsystatic.com/22032131/r/il/80d7c5/2374520840/il_fullxfull.2374520840_8fix.jpg,https://i.etsystatic.com/22032131/r/il/1ecf93/2422128911/il_fullxfull.2422128911_gol0.jpg,https://i.etsystatic.com/22032131/r/il/d53230/2821053434/il_fullxfull.2821053434_60k1.jpg,https://i.etsystatic.com/22032131/r/il/c774f4/3054020368/il_fullxfull.3054020368_81u0.jpg,https://i.etsystatic.com/22032131/r/il/92e19d/3101752285/il_fullxfull.3101752285_8a7d.jpg,https://i.etsystatic.com/22032131/r/il/20dc30/3174405991/il_fullxfull.3174405991_sk12.jpg,Colour,Primary colour,"Chocolate leaf,Pink Floral burst,African discs,B+W geometric,Gold & Rouge Floral,Blue Floral,Golden Floral,Blue and Turquoise,Blue and Gold Floral",Custom Property,Filter Paper,"1 piece,2 pieces,3 pieces,NO filter paper",,https://www.bijoucreates.co.uk/product-page/print-face-masks
PIN_003,African Ankara Print Handheld Folding Hand Fan-  Kente,"Introducing BijouCREATES luxury handmade fan! Embrace summer, boss mood and African inspired glamour with these authentic print fans. Turn heads with this beautiful accessory. Fantastic for gifts, home decor and a statement piece with an outfit.

Fits into your purse perfectly once folded, and is crisp and interfaced to create a sturdy long-lasting and wonderfully unique item.

All fabrics are cut by hand, so the precise placement of prints will always be unique to every order.

FEATURES

Material: 100% cotton, wax print fabrics & Vegan Leather 

Measurements: 
Total opened length: 35 cm 
Folded length : 24 cm 
Open fan radius: 13.5 cm 

Do not machine wash, please wipe down with slightly damp cloth to clean.

SHIPPING

Your item will be made within 1 week (excluding weekends and UK public holidays). Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately:

UK: 1-2 working days
Europe: 3-8 working days
USA: 5-10 working days
Rest of this beautiful world: 5-12 working days

Please note that these timings are Royal Mail estimates outside of peak seasons.

All orders are neatly wrapped in white tissue paper and a wax print ribbon. Gift wrapping is also available at checkout
 
SOCIALS

To see behind the scenes and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tiki's Tok and Facebook. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!


Please message me from any questions or enquires.",15,GBP,in stock,4,"fan,African_print,african_fabric,black_owned,hand_fan,fashion_accessories,foldable_fan,Ankara_fan,leather_fan,ethical,gifts,handmade,black_owned_shop",Fabric,https://i.etsystatic.com/22032131/r/il/9787f5/3120371618/il_fullxfull.3120371618_4rew.jpg,https://i.etsystatic.com/22032131/r/il/d0e5cf/3120376518/il_fullxfull.3120376518_sj1k.jpg,https://i.etsystatic.com/22032131/r/il/fbea15/3120380708/il_fullxfull.3120380708_a1ws.jpg,https://i.etsystatic.com/22032131/r/il/5fbd52/3120371406/il_fullxfull.3120371406_jsic.jpg,https://i.etsystatic.com/22032131/r/il/93f650/3168104095/il_fullxfull.3168104095_5vqw.jpg,,,,,,,,,,,,,https://www.bijoucreates.co.uk/product-page/fan-kente
PIN_004,African Ankara Print Handheld Folding Hand Fan-  Golden,"Introducing BijouCREATES luxury handmade fan! Embrace summer, boss mood and African inspired glamour with these authentic print fans. Turn heads with this beautiful accessory. Fantastic for gifts, home decor and a statement piece with an outfit.

Fits into your purse perfectly once folded, and is crisp and interfaced to create a sturdy long-lasting and wonderfully unique item.

All fabrics are cut by hand, so the precise placement of prints will always be unique to every order.

FEATURES

Material: 100% cotton, wax print fabrics & Vegan Leather 

Measurements: 
Total opened length: 35 cm 
Folded length : 24 cm 
Open fan radius: 13.5 cm 

Do not machine wash, please wipe down with slightly damp cloth to clean.

SHIPPING

Your item will be made within 1 week (excluding weekends and UK public holidays). Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately:

UK: 1-2 working days
Europe: 3-8 working days
USA: 5-10 working days
Rest of this beautiful world: 5-12 working days

Please note that these timings are Royal Mail estimates outside of peak seasons.

All orders are neatly wrapped in white tissue paper and a wax print ribbon. Gift wrapping is also available at checkout
 
SOCIALS

To see behind the scenes and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tiki's Tok and Facebook. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!


Please message me from any questions or enquires.",15,GBP,in stock,4,"fan,African_print,african_fabric,black_owned,hand_fan,fashion_accessories,foldable_fan,Ankara_fan,leather_fan,ethical,gifts,handmade,black_owned_shop",Fabric,https://i.etsystatic.com/22032131/r/il/d01d5a/3120360318/il_fullxfull.3120360318_bgu1.jpg,https://i.etsystatic.com/22032131/r/il/e7f8f5/3120365238/il_fullxfull.3120365238_1qpa.jpg,https://i.etsystatic.com/22032131/r/il/e8b652/3120365242/il_fullxfull.3120365242_2xsg.jpg,https://i.etsystatic.com/22032131/r/il/b0d5f2/3168082335/il_fullxfull.3168082335_pri2.jpg,https://i.etsystatic.com/22032131/r/il/e67e42/3168089197/il_fullxfull.3168089197_p3ma.jpg,,,,,,,,,,,,,https://www.bijoucreates.co.uk/product-page/fan-golden-1
PIN_005,Unisex Reversible Bucket Hat-  Black Cotton Denim / Ankara African Print Hat,"Hold on to the end of Summer through the year with this Reversible Bucket Hat from BijouCREATES. these hats have a unique two styles in one. One side is the 100% cotton black denim fabric andd the other a vibrant cotton Ankara African print fabric. 

Wear this bucket hat day to night. Style is it into your neutral asethetic with the plain black side, or flip it for a more vibrant pop of colour.

FEATURES

Material: 100% cotton denim & wax print fabrics 

Measurements: 
Hat Circumference: 63 cm / 24 inches
Diameter: 18cm / 7 inches

Brim length: 7cm /2.5inches
Brim Diameter: 30 cm/  11.8inches

Machine Washable on low heat. Iron on Low heat

SHIPPING

Your item will be made within 1-2 week (excluding weekends and UK public holidays), as each piece is lovingly handmade and made to order. Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately:

UK: 1-2 working days
Europe: 3-8 working days
USA: 5-10 working days
Rest of this beautiful world: 5-12 working days

Please note that these timings are Royal Mail estimates outside of peak seasons.

All orders are neatly wrapped in white tissue paper and a wax print ribbon. Gift wrapping is also available at checkout
 
SOCIALS

To see behind the scenes and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tiki's Tok and Facebook. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!


Please message me from any questions or enquires.",12.5,GBP,in stock,4,"bucket_hat,double_wear,summer_hat,large_bucket_hat,oversized_hat,unisex_hat,black_owned,Ankara_hat,African_print_fabric,men_bucket_hat,cotton_hat,beach_hat,sun_hat",,https://i.etsystatic.com/22032131/r/il/09630e/3292223062/il_fullxfull.3292223062_kobl.jpg,https://i.etsystatic.com/22032131/r/il/defe1d/3339919879/il_fullxfull.3339919879_fuxp.jpg,https://i.etsystatic.com/22032131/r/il/822501/3292222472/il_fullxfull.3292222472_nmi0.jpg,https://i.etsystatic.com/22032131/r/il/0c1e08/3292244596/il_fullxfull.3292244596_5fh6.jpg,https://i.etsystatic.com/22032131/r/il/6d5bf0/3339920427/il_fullxfull.3339920427_4l4w.jpg,https://i.etsystatic.com/22032131/r/il/9f5d89/3339932537/il_fullxfull.3339932537_e6eb.jpg,https://i.etsystatic.com/22032131/r/il/05326c/3292254780/il_fullxfull.3292254780_p2v9.jpg,,,,,,,,,,,https://www.bijoucreates.co.uk/product-page/reversible-bucket-hat-black
PIN_006,"Monochrome Print - Laptop Sleeve/ Case_ Device Case (MacBook, Laptops, Tablets) with Ankara / African print Fabric Vegan Leather","BijouCREATES introduces MONOCHROMATIC VIBES !

This design features a black and white muted colour palette, great for professional use in the workplace, university or anywhere. This sleek design features a  classic chain-break Ankara print on the heavy weight vegan leather fabric, with beautiful Ankara lining reveal.

Optional addition of adding four letter monogram for that additional special touch x
Available for all device, Email for a special request !",20,GBP,in stock,2,"Ankara,laptop_case,laptop_sleeve,black_business,sierra_leone,West_Africa,black_own,Africa_print,africa_fabric,leather_laptop,black_own_shop,kente_fabric,Africa_print_fabric",,https://i.etsystatic.com/22032131/r/il/2851bc/2409032717/il_fullxfull.2409032717_bhi8.jpg,https://i.etsystatic.com/22032131/r/il/057297/2361428820/il_fullxfull.2361428820_9wy6.jpg,https://i.etsystatic.com/22032131/r/il/7e00b9/2409033213/il_fullxfull.2409033213_82f1.jpg,https://i.etsystatic.com/22032131/r/il/e7b4a1/2409033267/il_fullxfull.2409033267_8yvb.jpg,https://i.etsystatic.com/22032131/r/il/13014c/2409033509/il_fullxfull.2409033509_cwd7.jpg,https://i.etsystatic.com/22032131/r/il/162909/2409037735/il_fullxfull.2409037735_10cf.jpg,https://i.etsystatic.com/22032131/r/il/d47fcc/2690297592/il_fullxfull.2690297592_7x34.jpg,https://i.etsystatic.com/22032131/r/il/0957bd/2737891775/il_fullxfull.2737891775_4h9a.jpg,https://i.etsystatic.com/22032131/r/il/3cade9/2690275168/il_fullxfull.2690275168_72vj.jpg,https://i.etsystatic.com/22032131/r/il/c85ea1/2690275370/il_fullxfull.2690275370_4dqo.jpg,Size,Size,"13,13 Mac Pro,14,15,15 Mac Book Pro,16,17,iPad Pro 11,iPad Mini,iPad 2// 3",Finish,Finish,"Design option 1,Design Option 2,Design Option 3",,https://www.bijoucreates.co.uk/product-page/monochromatic-vibes-device-case
,,,,,in stock,,,,,,,,,,,,,,,,,,,,,
PIN_007,Card Envelope Wallet_ (holder with Ankara/ kente detail),"Explore Ankara with this card holder. With its simple classic design with a beautiful pop of printed fabric detail/

Great for use on the go for compact storage for your ID cards, notes and roll up your ear- phones. This closing design gives extra security with a closing detail .
The envelope design matches the sleeve and combine together to create a Duo Set!

Embrace the patterns, and pick your fabric detail for a holder that could match your sleeve.

Dimensions: 

13.5 cm (w) x 8.5 cm (h)",14.5,GBP,in stock,7,"purses,wallets,card_holder,ankara,kente,fashion_accessories,african_styles,west_African_fabric,African_Print_fabric,African_print_purse,African_wallet,black_owned,africa_fabric",,https://i.etsystatic.com/22032131/r/il/78de82/2409067767/il_fullxfull.2409067767_659n.jpg,https://i.etsystatic.com/22032131/r/il/5acbc5/2361466232/il_fullxfull.2361466232_5ggn.jpg,https://i.etsystatic.com/22032131/r/il/641f27/2758203424/il_fullxfull.2758203424_b5ay.jpg,https://i.etsystatic.com/22032131/r/il/0cdb9a/2805960421/il_fullxfull.2805960421_scr9.jpg,https://i.etsystatic.com/22032131/r/il/cf581e/2758269502/il_fullxfull.2758269502_mz5l.jpg,https://i.etsystatic.com/22032131/r/il/fe0562/2409067545/il_fullxfull.2409067545_3p4l.jpg,https://i.etsystatic.com/22032131/r/il/6c1ee5/2805981171/il_fullxfull.2805981171_n80l.jpg,https://i.etsystatic.com/22032131/r/il/5d7d93/2758284020/il_fullxfull.2758284020_d2uc.jpg,https://i.etsystatic.com/22032131/r/il/740e36/2805957329/il_fullxfull.2805957329_9orp.jpg,https://i.etsystatic.com/22032131/r/il/37b0f8/2758280018/il_fullxfull.2758280018_pjs8.jpg,Secondary colour,Secondary colour,"Violet Floral ankara,Turquoise shell,kente regal,brown cross,red weave,Africa Multimix,Monochromatic Vibez",,,,,https://www.bijoucreates.co.uk/product-page/card-envelope-wallet
PIN_008,Face Mask - Luxury African Print Fabric with FILTER PAPER,"Better Days are on their way! 
Get ready to brace the world with our extended range of face masks!  These options feature beautiful West African print fabrics which give a firm shape to the face, with two design options. One with the full print coverage and another with a more stylist look.

Similar to our Ankara masks this mask design features a snug fit around the face to shape for a perfect fit. There is an internal pocket which allows for filter paper to be inserted inside for another layer of protection.
These masks all have a black interior lining with a silky feel that is great against the skin to wear everyday and luxury comfort. 

To order please chose the print design you would like from our options below, and select design option.
Secondly please select whether you would like  filter paper to be included and its ready to go! If a DUO pack is selected it will include both designs for selected print.

These masks include usage instruction but can be machine washed on low heat to be used multiple times for reusable sustainable safety

PRODUCT INFO

These masks are made to a standard size but it is possible for me to slightly adjust masks  to make them slightly large or smaller on request.  These masks come with adjusable straps to allow users to have maximum comfortability.  

size: Width (ear to ear) 20 cm  // 7.9""
         Height (nose to chin)  13 cm  // 5.1""


SOCIALS

Thank you so much for all the support and growth in my brand✨✨
To see behind the scenes, watch and discover the design and making of my items and learn more about BijouCREATES you can find @BijouCREATRS on Instagram and Facebook. Here you can be part of my journey as a young independent designer.  I would love for you to follow and support me on my adventure of growing my small business. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!",6.5,GBP,in stock,9,"ankara,face_mask,mask,african_wax_print,black_owned,face_covering,kente_fabric,black_own,mask_filter,africa_black,black_women,print,Africa_face_mask",,https://i.etsystatic.com/22032131/r/il/3fe474/3101825391/il_fullxfull.3101825391_1j6q.jpg,https://i.etsystatic.com/22032131/r/il/7ee28f/3101811203/il_fullxfull.3101811203_dlwe.jpg,https://i.etsystatic.com/22032131/r/il/607eb9/3054091346/il_fullxfull.3054091346_ig5s.jpg,https://i.etsystatic.com/22032131/r/il/ab3f4d/3101811501/il_fullxfull.3101811501_42wn.jpg,https://i.etsystatic.com/22032131/r/il/0bca23/3101811575/il_fullxfull.3101811575_coqu.jpg,https://i.etsystatic.com/22032131/r/il/062932/3054081142/il_fullxfull.3054081142_b8rq.jpg,https://i.etsystatic.com/22032131/r/il/fd07b1/3054081398/il_fullxfull.3054081398_b8tt.jpg,https://i.etsystatic.com/22032131/r/il/865e53/3101839279/il_fullxfull.3101839279_5i0j.jpg,,,Colour,Primary colour,"Regal Moment OP1,Regal Moment OP2,Afro Geometric OP1,Afro Geometric OP2,Soul Flows OP1,Soul Flows OP2,Checkmate OP1,Checkmate OP2",Custom Property,Filter Paper,"1 piece,2 pieces,3 pieces,NO filter paper,DUO  No Filter Paper,DUO 2 filter Pieces",,https://www.bijoucreates.co.uk/product-page/luxury-print-mask
PIN_009,Unisex Reversible Bucket Hat-  Beige Cotton Denim / Ankara African Print Hat,"Hold on to the end of Summer through the year with this Reversible Bucket Hat from BijouCREATES. these hats have a unique two styles in one effect! One side is the 100% cotton beige denim fabric and the other a vibrant cotton Ankara African print fabric. 

Wear this bucket hat day to night. Style is it into your neutral asethetic with the plain denim side, or flip it for a more vibrant pop of colour.

FEATURES

Material: 100% cotton denim & wax print fabrics 

Measurements: 
Hat Circumference: 63 cm / 24 inches
Diameter: 18cm / 7 inches

Brim length: 7cm /2.5inches
Brim Diameter: 30 cm/  11.8inches

Machine Washable on low heat. Iron on Low heat

SHIPPING

Your item will be made within 1-2 week (excluding weekends and UK public holidays), as each piece is lovingly handmade and made to order. Once ready to be shipped, you will receive an email notification so that you know to expect your package within another approximately:

UK: 1-2 working days
Europe: 3-8 working days
USA: 5-10 working days
Rest of this beautiful world: 5-12 working days

Please note that these timings are Royal Mail estimates outside of peak seasons.

All orders are neatly wrapped in white tissue paper and a wax print ribbon. Gift wrapping is also available at checkout
 
SOCIALS

To see behind the scenes and learn more about BijouCREATES you can find @BijouCREATES on Instagram, Tiki's Tok and Facebook. I also LOVE to see where my creations find homes, so please do tag @BijouCreates in your posts and stories!


Please message me from any questions or enquires.",12.5,GBP,in stock,5,"bucket_hat,double_wear,summer_hat,large_bucket_hat,oversized_hat,unisex_hat,black_owned,Ankara_hat,African_print_fabric,men_bucket_hat,cotton_hat,beach_hat,sun_hat",,https://i.etsystatic.com/22032131/r/il/1ce384/3292386606/il_fullxfull.3292386606_mys0.jpg,https://i.etsystatic.com/22032131/r/il/e4812d/3340082957/il_fullxfull.3340082957_lg14.jpg,https://i.etsystatic.com/22032131/r/il/a7b050/3292386174/il_fullxfull.3292386174_jrau.jpg,https://i.etsystatic.com/22032131/r/il/5a0d26/3292387562/il_fullxfull.3292387562_cuzh.jpg,https://i.etsystatic.com/22032131/r/il/64b48c/3340084745/il_fullxfull.3340084745_grhm.jpg,https://i.etsystatic.com/22032131/r/il/706969/3340085055/il_fullxfull.3340085055_6ba8.jpg,https://i.etsystatic.com/22032131/r/il/9899ca/3292388478/il_fullxfull.3292388478_rtxa.jpg,,,,,,,,,,,https://www.bijoucreates.co.uk/product-page/reversible-bucket-hat-beige
